X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
46.5,-4.5,0.4,-0.23872,-1.6979,8.19E-06
45,-4.5,0.4,-0.23808,-1.6156,3.72E-05
43.5,-4.5,0.4,-0.23692,-1.5338,5.71E-05
42,-4.5,0.4,-0.23528,-1.4526,7.56E-05
40.5,-4.5,0.4,-0.23317,-1.372,9.40E-05
39,-4.5,0.4,-0.23059,-1.2922,1.12E-04
37.5,-4.5,0.4,-0.22754,-1.2134,1.31E-04
36,-4.5,0.4,-0.22403,-1.1356,1.50E-04
34.5,-4.5,0.4,-0.22004,-1.0591,1.69E-04
33,-4.5,0.4,-0.21559,-0.98394,1.87E-04
31.5,-4.5,0.4,-0.21067,-0.91038,2.06E-04
30,-4.5,0.4,-0.20528,-0.83854,2.25E-04
28.5,-4.5,0.4,-0.19942,-0.76858,2.44E-04
27,-4.5,0.4,-0.19309,-0.70065,2.62E-04
25.5,-4.5,0.4,-0.18629,-0.6349,2.81E-04
24,-4.5,0.4,-0.17903,-0.5715,3.00E-04
22.5,-4.5,0.4,-0.17129,-0.5106,3.18E-04
21,-4.5,0.4,-0.16309,-0.45236,3.37E-04
19.5,-4.5,0.4,-0.15442,-0.39693,3.56E-04
18,-4.5,0.4,-0.14528,-0.34446,3.74E-04
16.5,-4.5,0.4,-0.13567,-0.29512,3.92E-04
15,-4.5,0.4,-0.12559,-0.24907,4.09E-04
13.5,-4.5,0.4,-0.11504,-0.20645,4.26E-04
12,-4.5,0.4,-0.10403,-0.16742,4.40E-04
10.5,-4.5,0.4,-9.25E-02,-0.13215,4.52E-04
